"Name","Id","CPU","WS"
"ms-teams","7812","10472.75","27021312"
"chrome","17504","5651.796875","363782144"
"msedgewebview2","10420","3234.484375","541523968"
"chrome","26564","2625.671875","203476992"
"ChatGPT","24040","1772.671875","98414592"
"msedgewebview2","25980","1342.375","36593664"
"chrome","15796","1214.5","70864896"
"Code","32452","860.4375","220983296"
"ChatGPT","26496","813.71875","832892928"
"SoftphoneIntegrations","17396","750.9375","23703552"
"svchost","6800","680.15625","24576000"
"chrome","28828","605.46875","192712704"
"chrome","12692","603.765625","154595328"
"explorer","18964","548.25","310382592"
"WINWORD","32420","522.8125","191037440"
"msedgewebview2","15624","443.625","74702848"
"Code","9408","441","168251392"
"chrome","23640","430.609375","179994624"
"chrome","15064","377.25","346820608"
"PhoneExperienceHost","23372","371.875","80748544"
