"Name","CPU","Id"
"Acrobat","187.8125","4340"
"Code","141.015625","15908"
"csrss","146.5","8"
"dwm","574.625","1632"
"explorer","335.203125","10364"
"msedgewebview2","116.078125","18148"
"MsMpEng","782.28125","5836"
"SoftphoneIntegrations","242.8125","1948"
"svchost","193.71875","1500"
"svchost","100.6875","1784"
"svchost","256.453125","1844"
"svchost","258.546875","2696"
"svchost","185.78125","2820"
"svchost","341.78125","4008"
"svchost","649.4375","5720"
"svchost","2236.890625","16012"
"System","1301.5625","4"
"vmmemWSL","449.828125","22644"
"Zoom","112.890625","1460"
"Zoom","100.640625","4408"
"Zoom","337.859375","9624"
